iter	RMSE
0	0.8801234068
1	0.859144631222	0.839492576233	0.821399431344	0.804436396955	0.7886255816	6	0.7741081517	0.7620646954
8	0.7496367694
9	0.7382692817
10	0.727693265
11	0.7176685808
12	0.7085285869
13	0.7001369431
14	0.6924474319
15	0.6853673046
16	0.6787930378
17	0.672763044
18	0.6670910702
19	0.6619071242
20	0.6569141881
21	0.6526975323
22	0.6485411371
23	0.6447379933
24	0.6412531982
25	0.6379785969
26	0.6349587574
27	0.6322473416
28	0.6295940128
29	0.6272270705
30	0.6249683768
31	0.6224616708
32	0.6204015432
33	0.6185798658
34	0.6167338254
35	0.6151790912
36	0.6132158323
37	0.6117546043
38	0.6104092131
39	0.6091119139
40	0.6080452577
41	0.6064929902
42	0.6054754053
43	0.6041762544
44	0.6031689285
45	0.6020871722
46	0.6009840385
47	0.6002040886
48	0.5994673334
49	0.5984598829
50	0.5976860201
51	0.5970803796
52	0.596348068
53	0.5957844125
54	0.595281157
55	0.5943842118
56	0.5937016291
57	0.5932278944
58	0.5927978222
59	0.5921168732
60	0.5917127083
61	0.5912095529
62	0.5906312891
63	0.5899306109
64	0.5895192429
65	0.588878284
66	0.58853088
67	0.5882733986
68	0.5877463686
69	0.5873635271
70	0.5869044886
71	0.5865989759
72	0.5862304505
73	0.5859924474
74	0.5853721662
75	0.584823647
76	0.5846055549
77	0.5840680725
78	0.5836212919
79	0.5834135536
80	0.582914682
81	0.5825106806
82	0.5822842932
83	0.5818338244
84	0.5815911921
85	0.5814490068
86	0.5808211263
87	0.5804324483
88	0.5802409018
89	0.5800725299
90	0.5796917192
91	0.579242688
92	0.5785969648
93	0.5784093042
94	0.5782754227
95	0.5781176436
96	0.5778442641
97	0.5777325212
98	0.5772615114
99	0.5767280099
100	0.5765622106
101	0.5762427398
102	0.575863415
103	0.5753475606
104	0.5752018671
105	0.5749271525
106	0.5744646554
107	0.574195655
108	0.5739233595
109	0.5735170839
110	0.5732328317
111	0.5730126008
112	0.5727766676
113	0.5725866236
114	0.5724180428
115	0.5720027748
116	0.5718162558
117	0.5717113762
118	0.5716107781
119	0.5713097549
120	0.5712022458
121	0.5710302593
122	0.5709274407
123	0.5707813234
124	0.5706200535
125	0.5703822715
126	0.57030537
127	0.5701129927
128	0.569978221
129	0.569606044
130	0.5694787806
131	0.5691281418
132	0.568799622
133	0.5686902609
134	0.5685228963
135	0.5684971237
136	0.5683246824
137	0.5680807695
138	0.567900507
139	0.5677441792
140	0.5676365403
141	0.5675065591
142	0.5674002558
143	0.5672380974
144	0.5671277868
145	0.5669630233
146	0.5668550052
147	0.5666559127
148	0.5665225668
149	0.5664033207
150	0.5663154601
151	0.5662122175
152	0.5660391786
153	0.5658908905
154	0.5657384783
155	0.5656024111
156	0.5654918154
157	0.5654367294
158	0.56530265
159	0.565184175
160	0.5650544792
161	0.5647912497
162	0.5647079804
163	0.5645721848
164	0.5644225328
165	0.5643502973
166	0.5642593161
167	0.5640438488
168	0.5639255336
169	0.5638243619
170	0.5636850408
171	0.5635559461
172	0.5634367674
173	0.5632797964
174	0.5631620548
175	0.5629857059
176	0.5627821084
177	0.5627335845
178	0.5626308651
179	0.5625482338
180	0.5624671839
181	0.5623142705
182	0.5621931738
183	0.5620731684
184	0.5619586623
185	0.5618719092
186	0.5617861812
187	0.5616921332
188	0.5615850545
189	0.5615114577
190	0.5614250682
191	0.5613706933
192	0.5613230474
193	0.5612140054
194	0.561070743
195	0.561032618
196	0.5609298548
197	0.5608358183
198	0.5606519065
199	0.5605461924
200	0.5604545509
201	0.5603147367
202	0.5602095111
203	0.5601425145
204	0.5600749956
205	0.5599648863
206	0.5598678812
207	0.5597917618
208	0.5596996621
209	0.5596572899
210	0.5596107
211	0.5595381616
212	0.5594641936
213	0.5593757842
214	0.5592759579
215	0.5591677753
216	0.5590196769
217	0.5589232458
218	0.5588716034
219	0.558830354
220	0.5587857359
221	0.5586895868
222	0.558580527
223	0.5585044451
224	0.5583540886
225	0.5582781004
226	0.5581693365
227	0.5580665885
228	0.5579963157
229	0.5578586409
230	0.5577803515
231	0.5577205848
232	0.5576629827
233	0.5575789057
234	0.5575241886
235	0.55743163
236	0.5573502803
237	0.5572839227
238	0.5571949721
239	0.5571230087
240	0.5570431444
241	0.5569969508
242	0.5569335635
243	0.5568534561
244	0.5567921817
245	0.5567151037
246	0.5566485512
247	0.5566138474
248	0.5564844579
249	0.5563925194
250	0.5563416116
251	0.5562921155
252	0.5562292682
253	0.5561465225
254	0.5560474241
255	0.555982877
256	0.5559170113
257	0.5558789385
258	0.5558276611
259	0.5557629205
260	0.5557062808
261	0.5556242209
262	0.555543283
263	0.5555103331
264	0.555473538
265	0.5554201586
266	0.5553298458
267	0.5552558856
268	0.5551815391
269	0.5551167777
270	0.5550441643
271	0.5549194601
272	0.5548226584
273	0.554768695
274	0.5547282441
275	0.5546731243
276	0.554593203
277	0.5545350445
278	0.5544705957
279	0.5543874845
280	0.554342615
281	0.5542747774
282	0.5542393999
283	0.5541729079
284	0.5541306317
285	0.55406499
286	0.554013136
287	0.5538949276
288	0.5537970822
289	0.5537283261
290	0.5536651908
291	0.5536239748
292	0.5535883467
293	0.5535153492
294	0.5534531826
295	0.553427979
296	0.5533613589
297	0.5532772528
298	0.5532371978
299	0.5531578104
300	0.5530736503
301	0.5530319838
302	0.5529821417
303	0.5529453003
304	0.5529189566
305	0.5528650587
306	0.5528283623
307	0.552807006
308	0.5527455959
309	0.5527160961
310	0.5526827343
311	0.552609623
312	0.5525646918
313	0.5524937742
314	0.5524481354
315	0.5524213663
316	0.5524041075
317	0.5523398881
318	0.5522553026
319	0.5522219591
320	0.5521035778
321	0.5520520832
322	0.5520318365
323	0.5519836016
324	0.5519455651
325	0.5518770729
326	0.5518453344
327	0.5517812061
328	0.5517539296
329	0.5517041067
330	0.5516450221
331	0.5515987833
332	0.5515643743
333	0.5515391426
334	0.5514889164
335	0.5514274045
336	0.5514027262
337	0.5513594428
338	0.5513173977
339	0.5512633451
340	0.5512058035
341	0.5511817045
342	0.5511588418
343	0.5511053779
344	0.5510508923
345	0.5510068016
346	0.5509675415
347	0.5509062795
348	0.5508489003
349	0.5508088256
350	0.5507853841
351	0.5507367014
352	0.5506714979
353	0.5506349223
354	0.5505772276
355	0.5505285896
356	0.5504920433
357	0.5504493935
358	0.5504057071
359	0.5503679402
360	0.5503107432
361	0.5502774239
362	0.5502267006
363	0.5501691069
364	0.5501466511
365	0.5501037866
366	0.5500517115
367	0.549994314
368	0.5499505973
369	0.5498511965
370	0.5498031798
371	0.5497495502
372	0.5497114501
373	0.5496858633
374	0.5496616653
375	0.5496218603
376	0.5495957531
377	0.549564942
378	0.5495275173
379	0.5494809991
380	0.549456271
381	0.5494286732
382	0.5493598479
383	0.5493122851
384	0.5492612927
385	0.5492119745
386	0.5491729787
387	0.5491199605
388	0.5490746482
389	0.5490485746
390	0.5490129365
391	0.5489999433
392	0.5489813358
393	0.5489343637
394	0.5488861531
395	0.5488292117
396	0.5487955988
397	0.5487640375
398	0.5487258419
399	0.5486951957
400	0.5486547964
401	0.548606062
402	0.5485740208
403	0.5485089222
404	0.5484815909
405	0.5484494723
406	0.5483896881
407	0.5483195716
408	0.5482877928
409	0.5482526151
410	0.5482024771
411	0.5481548325
412	0.5481012182
413	0.5480085009
414	0.5479622021
415	0.5479479381
416	0.5478871421
417	0.5478452696
418	0.5478054126
419	0.5477855938
420	0.547744236
421	0.5477089682
422	0.5476841856
423	0.5476679996
424	0.547614318
425	0.5476011695
426	0.5475656814
427	0.5475308213
428	0.5475020746
429	0.5474652719
430	0.5474398309
431	0.5473955909
432	0.5473515167
433	0.5473107154
434	0.5472830351
435	0.5472084548
436	0.5471531658
437	0.5471062396
438	0.5470647478
439	0.5470132655
440	0.5469878098
441	0.5469693005
442	0.5469513954
443	0.5469028489
444	0.5468655983
445	0.546823454
446	0.546771845
447	0.5467361791
448	0.5467115449
449	0.5466851629
450	0.5466745402
451	0.5466422788
452	0.5465905915
453	0.5465337413
454	0.5465036025
455	0.5464611275
456	0.5464186668
457	0.5463816546
458	0.5463462813
459	0.5463110669
460	0.5462722653
461	0.5462320899
462	0.5462229748
463	0.5462082579
464	0.5461753605
465	0.5461260343
466	0.5461005535
467	0.5460621341
468	0.5460324831
469	0.5460112315
470	0.5459822202
471	0.5459444057
472	0.5459200937
473	0.5458923091
474	0.5458839742
475	0.5458436362
476	0.5458107891
477	0.545782949
478	0.5457576411
479	0.5457245345
480	0.5457085063
481	0.5456782038
482	0.5456411514
483	0.5456160423
484	0.5455805861
485	0.5455506263
486	0.5455114417
487	0.5454730733
488	0.5454382102
489	0.5454138014
490	0.5453811389
491	0.5453615205
492	0.5453339167
493	0.5453050724
494	0.5452839649
495	0.545250626
496	0.545223747
497	0.5451759458
498	0.5451435441
499	0.5450859906
500	0.5450685202
501	0.5450365011
502	0.5449910661
503	0.5449557429
504	0.5449255994
505	0.544891051
506	0.5448591269
507	0.5448287303
508	0.5447956129
509	0.5447770829
510	0.5447444318
511	0.5447217346
512	0.5446596037
513	0.5446416783
514	0.5446218268
515	0.5445781877
516	0.5445522783
517	0.5445165967
518	0.5444849874
519	0.5444473111
520	0.5444288112
521	0.5444037723
522	0.5443815678
523	0.5443519522
524	0.5443279732
525	0.5442976176
526	0.544260995
527	0.544236418
528	0.5441913179
529	0.544163408
530	0.5441398848
531	0.5441166316
532	0.5440947137
533	0.5440579776
534	0.5440301247
535	0.5439939957
536	0.5439646165
537	0.5439512627
538	0.5439224441
539	0.5438962664
540	0.5438840832
541	0.5438503237
542	0.5438262412
543	0.5438009388
544	0.5437789042
545	0.5437421791
546	0.5437188599
547	0.5436904771
548	0.5436595524
549	0.5436195969
550	0.543603984
551	0.5435530427
552	0.5435291269
553	0.5435012504
554	0.5434718868
555	0.5434385306
556	0.5434183087
557	0.5433831341
558	0.543348051
559	0.5433199244
560	0.5432896862
561	0.5432625619
562	0.5432230763
563	0.5431821261
564	0.5431659937
565	0.5431471789
566	0.5431265563
567	0.5430877904
568	0.5430669669
569	0.5430432852
570	0.5430151723
571	0.5429942899
572	0.5429749782
573	0.5429334552
574	0.5429073285
575	0.5428881269
576	0.5428618225
577	0.5428383135
578	0.5428143785
579	0.542786084
580	0.5427507916
581	0.5427390574
582	0.5427257217
583	0.5427039869
584	0.5426616541
585	0.5426497624
586	0.5426272235
587	0.5425966209
588	0.542563697
589	0.5425315243
590	0.5424997074
591	0.5424775258
592	0.5424581886
593	0.5424199795
594	0.5424004666
595	0.5423484398
596	0.5423136465
597	0.5422944505
598	0.5422681833
599	0.5422278286
600	0.5422121989
601	0.5421944895
602	0.5421737843
603	0.5421416705
604	0.5421135353
605	0.5420936927
606	0.5420543476
607	0.5420299013
608	0.542007059
609	0.5419762197
610	0.541956395
611	0.5419313618
612	0.5418858073
613	0.5418520937
614	0.5418206964
615	0.5417940281
616	0.5417666501
617	0.5417440642
618	0.5417207775
619	0.5416977825
620	0.5416782597
621	0.5416498614
622	0.5416244188
623	0.5416023336
624	0.5415823039
625	0.5415557291
626	0.5415317855
627	0.5415201905
628	0.5414900854
629	0.5414532228
630	0.541421442
631	0.5414049628
632	0.54137447
633	0.5413395714
634	0.541324252
635	0.5413021229
636	0.5412627647
637	0.5412372621
638	0.5412122488
639	0.541187357
640	0.5411514574
641	0.5411132049
642	0.5410870994
643	0.5410711047
644	0.5410467579
645	0.5410127994
646	0.5409939685
647	0.5409696929
648	0.5409494263
649	0.5409370617
650	0.5409118368
651	0.540899084
652	0.5408730557
653	0.5408595947
654	0.5408417283
655	0.5408246287
656	0.5407873742
657	0.5407633144
658	0.5407304864
659	0.540706338
660	0.5406941747
661	0.5406571439
662	0.5406337938
663	0.5406107242
664	0.5405867571
665	0.540555631
666	0.5405347974
667	0.5405165123
668	0.540498283
669	0.5404673642
670	0.5404439651
671	0.5404232704
672	0.5404114485
673	0.5403898881
674	0.5403555623
675	0.5403258375
676	0.5402989862
677	0.5402789268
678	0.5402600168
679	0.5402492967
680	0.5402261337
681	0.5401975014
682	0.5401719976
683	0.5401337564
684	0.5401138634
685	0.5400847033
686	0.5400603764
687	0.5400283847
688	0.5400068023
689	0.5399922311
690	0.5399786198
691	0.5399629114
692	0.5399489371
693	0.5399157251
694	0.5398891902
695	0.5398664438
696	0.5398499042
697	0.5398351766
698	0.5397948474
699	0.5397629175
700	0.539745595
701	0.5397148881
702	0.5396892324
703	0.5396798951
704	0.5396508888
705	0.5396418896
706	0.5396208622
707	0.5395983035
708	0.539583205
709	0.539564363
710	0.5395479248
711	0.5395232878
712	0.5395110403
713	0.5394838178
714	0.5394727565
715	0.5394437759
716	0.5394150225
717	0.5393982865
718	0.539369467
719	0.5393590388
720	0.5393420577
721	0.5393158292
722	0.5393030745
723	0.5392877796
724	0.5392677487
725	0.5392441174
726	0.5392314542
727	0.5392213006
728	0.5391993755
729	0.5391876783
730	0.5391639972
731	0.5391497135
732	0.539123157
733	0.5391020243
734	0.5390813651
735	0.5390674555
736	0.5390580799
737	0.5390371522
738	0.5390097931
739	0.538973685
740	0.5389612675
741	0.5389369044
742	0.5389164305
743	0.5388962758
744	0.5388665486
745	0.5388515008
746	0.5388335714
747	0.5388178787
748	0.5388022465
749	0.5387785491
750	0.5387696691
751	0.5387615255
752	0.5387477151
753	0.5387324222
754	0.5387024721
755	0.5386863762
756	0.5386690222
757	0.5386381469
758	0.5386151117
759	0.538582541
760	0.5385611998
761	0.538551155
762	0.5385438888
763	0.5385174954
764	0.5384911986
765	0.5384842405
766	0.5384625892
767	0.5384404412
768	0.5384364924
769	0.5383975235
770	0.5383687105
771	0.5383479694
772	0.5383231849
773	0.5382969516
774	0.5382764697
775	0.5382586396
776	0.5382266173
777	0.5382142715
778	0.5382082944
779	0.5381777024
780	0.5381514662
781	0.5381427775
782	0.5381243258
783	0.5381112928
784	0.5380946085
785	0.5380744388
786	0.5380586494
787	0.5380334011
788	0.5380054745
789	0.5379793144
790	0.5379577583
791	0.5379332527
792	0.5379075963
793	0.5378942126
794	0.5378713473
795	0.5378525238
796	0.5378316579
797	0.5378161834
798	0.5377961106
799	0.5377792227
800	0.5377644165
801	0.5377411718
802	0.5377300994
803	0.5377040592
804	0.5376773278
805	0.5376584124
806	0.5376414981
807	0.5376197208
808	0.5376048929
809	0.5375926756
810	0.5375715803
811	0.5375587336
812	0.537534648
813	0.5375129821
814	0.5375017069
815	0.5374797055
816	0.5374614958
817	0.5374492386
818	0.537427013
819	0.5374205939
820	0.5373958722
821	0.5373775015
822	0.5373704537
823	0.5373466086
824	0.537327104
825	0.5373015785
826	0.537286472
827	0.5372806963
828	0.53725123
829	0.5372414861
830	0.5372218493
831	0.5371988384
832	0.5371941992
833	0.5371509117
834	0.5371308626
835	0.5371125789
836	0.5371062906
837	0.5371006854
838	0.5370759884
839	0.5370462741
840	0.5370244702
841	0.5370050004
842	0.536972272
843	0.5369496618
844	0.5369294158
845	0.5369051117
846	0.5368832805
847	0.536871168
848	0.5368536703
849	0.5368353734
850	0.5368217888
851	0.5368058741
852	0.5367981993
853	0.5367747314
854	0.5367691271
855	0.5367534245
856	0.5367368087
857	0.5367107911
858	0.5367048982
859	0.536692736
860	0.5366847983
861	0.5366674833
862	0.5366482088
863	0.5366306497
864	0.5366173392
865	0.5366122762
866	0.5365995968
867	0.536585387
868	0.5365713484
869	0.5365581388
870	0.5365385119
871	0.5365152626
872	0.5365017714
873	0.536487429
874	0.5364721794
875	0.536457491
876	0.5364334992
877	0.5364201014
878	0.5364047914
879	0.5363993554
880	0.5363762602
881	0.5363604629
882	0.5363384817
883	0.5363153062
884	0.5363081658
885	0.5362901843
886	0.5362734748
887	0.5362590438
888	0.5362325004
889	0.5362206164
890	0.536209198
891	0.5361930037
892	0.5361810446
893	0.5361759271
894	0.5361483125
895	0.5361438948
896	0.5361302332
897	0.5361076512
898	0.53608755
899	0.5360722703
900	0.5360512648
901	0.5360344152
902	0.536015743
903	0.5360013677
904	0.53598627
905	0.5359716838
906	0.5359651064
907	0.53596023
908	0.5359465696
909	0.5359255559
910	0.5358933372
911	0.5358818554
912	0.5358717313
913	0.53586293
914	0.5358468292
915	0.5358267142
916	0.5358015719
917	0.5357976199
918	0.5357792583
919	0.5357637261
920	0.5357398639
921	0.535724826
922	0.5357054265
923	0.535693804
924	0.5356730606
925	0.5356587109
926	0.5356549975
927	0.535632249
928	0.535620192
929	0.5355918752
930	0.5355698801
931	0.535551628
932	0.5355475803
933	0.5355423849
934	0.5355322214
935	0.5355076202
936	0.5354903232
937	0.5354678118
938	0.5354513225
939	0.5354459888
940	0.5354329509
941	0.535420053
942	0.5354147233
943	0.5354026333
944	0.5353870816
945	0.5353674861
946	0.535344577
947	0.5353252012
948	0.5353046169
949	0.5352988032
950	0.5352801527
951	0.5352621469
952	0.5352358869
953	0.5352206384
954	0.535203277
955	0.5351912782
956	0.5351768495
957	0.5351576281
958	0.5351489293
959	0.5351293948
960	0.5351176584
961	0.5351064972
962	0.5350959216
963	0.535084988
964	0.5350713455
965	0.5350495824
966	0.5350370816
967	0.5350214002
968	0.5350053708
969	0.5349982207
970	0.5349875369
971	0.5349781753
972	0.5349574444
973	0.5349275237
974	0.5349236609
975	0.5349171519
976	0.5349032382
977	0.5348937562
978	0.5348875963
979	0.5348720414
980	0.5348543367
981	0.5348408231
982	0.534819737
983	0.5348158094
984	0.5347936159
985	0.5347887615
986	0.5347758125
987	0.534771518
988	0.5347509931
989	0.5347309908
990	0.5347170202
991	0.5347027324
992	0.5346915038
993	0.5346824939
994	0.5346674011
995	0.5346486569
996	0.5346434319
997	0.5346253843
998	0.5346111579
999	0.5345920636
5816686
